ts_event,ts_recv,r_type,publisher,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,order_id,bid_px_00,bid_sz_00,bid_ct_00,ask_px_00,ask_sz_00,ask_ct_00,bid_px_01,bid_sz_01,bid_ct_01,ask_px_01,ask_sz_01,ask_ct_01,bid_px_02,bid_sz_02,bid_ct_02,ask_px_02,ask_sz_02,ask_ct_02,bid_px_03,bid_sz_03,bid_ct_03,ask_px_03,ask_sz_03,ask_ct_03,bid_px_04,bid_sz_04,bid_ct_04,ask_px_04,ask_sz_04,ask_ct_04,bid_px_05,bid_sz_05,bid_ct_05,ask_px_05,ask_sz_05,ask_ct_05,bid_px_06,bid_sz_06,bid_ct_06,ask_px_06,ask_sz_06,ask_ct_06,bid_px_07,bid_sz_07,bid_ct_07,ask_px_07,ask_sz_07,ask_ct_07,bid_px_08,bid_sz_08,bid_ct_08,ask_px_08,ask_sz_08,ask_ct_08,bid_px_09,bid_sz_09,bid_ct_09,ask_px_09,ask_sz_09,ask_ct_09
2025-07-17T08:05:03.360677248Z,2025-07-17T08:05:03.360842448Z,160,2,1108,A,B,0,5.51,100,130,165200,851012,ARL,817593,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:05:03.360683462Z,2025-07-17T08:05:03.360848793Z,160,2,1108,A,A,0,21.33,100,130,165331,851013,ARL,817597,5.51,100,1,21.33,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:05:03.361327319Z,2025-07-17T08:05:03.361492517Z,160,2,1108,A,B,0,5.9,100,130,165198,851022,ARL,817633,5.9,100,1,21.33,100,1,5.51,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:05:03.361332576Z,2025-07-17T08:05:03.361497823Z,160,2,1108,A,A,0,20.94,100,130,165247,851023,ARL,817637,5.9,100,1,20.94,100,1,5.51,100,1,21.33,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:09:48.860696464Z,2025-07-17T08:09:48.860862095Z,160,2,1108,C,B,0,5.51,100,130,165631,1289631,ARL,817593,5.9,100,1,20.94,100,1,,,,21.33,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:09:48.860705588Z,2025-07-17T08:09:48.860870885Z,160,2,1108,A,B,0,5.37,100,130,165297,1289632,ARL,1263973,5.9,100,1,20.94,100,1,5.37,100,1,21.33,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:09:49.157896784Z,2025-07-17T08:09:49.158061899Z,160,2,1108,C,B,0,5.9,100,130,165115,1290626,ARL,817633,5.37,100,1,20.94,100,1,,,,21.33,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:09:49.157903443Z,2025-07-17T08:09:49.158069452Z,160,2,1108,A,B,0,5.4,100,0,166009,1290627,ARL,1264721,5.4,100,1,20.94,100,1,5.37,100,1,21.33,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:09:49.157903798Z,2025-07-17T08:09:49.158069452Z,160,2,1108,C,A,0,20.94,100,130,165654,1290628,ARL,817637,5.4,100,1,21.33,100,1,5.37,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:09:49.157909054Z,2025-07-17T08:09:49.158074599Z,160,2,1108,A,A,0,21.47,100,130,165545,1290629,ARL,1264725,5.4,100,1,21.33,100,1,5.37,100,1,21.47,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:00.125174985Z,2025-07-17T11:00:00.125340914Z,160,2,1108,C,B,0,5.37,100,130,165929,10583317,ARL,1263973,5.4,100,1,21.33,100,1,,,,21.47,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:00.125182048Z,2025-07-17T11:00:00.125347247Z,160,2,1108,A,B,0,9.79,100,130,165199,10583320,ARL,12852457,9.79,100,1,21.33,100,1,5.4,100,1,21.47,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:00.125454029Z,2025-07-17T11:00:00.125619742Z,160,2,1108,C,B,0,5.4,100,130,165713,10583363,ARL,1264721,9.79,100,1,21.33,100,1,,,,21.47,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:00.125460962Z,2025-07-17T11:00:00.125626050Z,160,2,1108,A,B,0,9.84,100,130,165088,10583364,ARL,12852537,9.84,100,1,21.33,100,1,9.79,100,1,21.47,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:07.975824831Z,2025-07-17T11:00:07.975990221Z,160,2,1108,C,A,0,21.33,100,130,165390,10674471,ARL,817597,9.84,100,1,21.47,100,1,9.79,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:07.975837956Z,2025-07-17T11:00:07.976003383Z,160,2,1108,A,A,0,17.44,100,130,165427,10674472,ARL,12983425,9.84,100,1,17.44,100,1,9.79,100,1,21.47,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:07.975972618Z,2025-07-17T11:00:07.976138102Z,160,2,1108,C,A,0,21.47,100,130,165484,10674473,ARL,1264725,9.84,100,1,17.44,100,1,9.79,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:07.975979367Z,2025-07-17T11:00:07.976144724Z,160,2,1108,A,A,0,17.36,100,130,165357,10674474,ARL,12983429,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.254975294Z,2025-07-17T11:00:08.255140498Z,160,2,1108,C,A,0,17.44,100,130,165204,10676310,ARL,12983425,9.84,100,1,17.36,100,1,9.79,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.254985173Z,2025-07-17T11:00:08.255150459Z,160,2,1108,A,A,0,18.92,100,130,165286,10676311,ARL,12985397,9.84,100,1,17.36,100,1,9.79,100,1,18.92,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
